ID	Gene Name	Species	GOTERM_BP_DIRECT
ITGB3	integrin subunit beta 3(ITGB3)	Homo sapiens	GO:0001934~positive regulation of protein phosphorylation;GO:0001938~positive regulation of endothelial cell proliferation;GO:0002576~platelet degranulation;GO:0007044~cell-substrate junction assembly;GO:0007155~cell adhesion;GO:0007160~cell-matrix adhesion;GO:0007229~integrin-mediated signaling pathway;GO:0007596~blood coagulation;GO:0010595~positive regulation of endothelial cell migration;GO:0010745~negative regulation of macrophage derived foam cell differentiation;GO:0010888~negative regulation of lipid storage;GO:0014909~smooth muscle cell migration;GO:0016049~cell growth;GO:0016477~cell migration;GO:0030168~platelet activation;GO:0030198~extracellular matrix organization;GO:0030334~regulation of cell migration;GO:0030949~positive regulation of vascular endothelial growth factor receptor signaling pathway;GO:0031589~cell-substrate adhesion;GO:0032147~activation of protein kinase activity;GO:0032369~negative regulation of lipid transport;GO:0033627~cell adhesion mediated by integrin;GO:0034113~heterotypic cell-cell adhesion;GO:0034446~substrate adhesion-dependent cell spreading;GO:0035295~tube development;GO:0038027~apolipoprotein A-I-mediated signaling pathway;GO:0042060~wound healing;GO:0045124~regulation of bone resorption;GO:0045715~negative regulation of low-density lipoprotein particle receptor biosynthetic process;GO:0046718~viral entry into host cell;GO:0048010~vascular endothelial growth factor receptor signaling pathway;GO:0048333~mesodermal cell differentiation;GO:0050731~positive regulation of peptidyl-tyrosine phosphorylation;GO:0050748~negative regulation of lipoprotein metabolic process;GO:0050900~leukocyte migration;GO:0050919~negative chemotaxis;GO:0060055~angiogenesis involved in wound healing;GO:0070527~platelet aggregation,
ITGB8	integrin subunit beta 8(ITGB8)	Homo sapiens	GO:0001573~ganglioside metabolic process;GO:0007155~cell adhesion;GO:0007160~cell-matrix adhesion;GO:0007229~integrin-mediated signaling pathway;GO:0010628~positive regulation of gene expression;GO:0010629~negative regulation of gene expression;GO:0030198~extracellular matrix organization;GO:0051216~cartilage development;GO:0060674~placenta blood vessel development,
ICAM1	intercellular adhesion molecule 1(ICAM1)	Homo sapiens	GO:0001541~ovarian follicle development;GO:0001910~regulation of leukocyte mediated cytotoxicity;GO:0001975~response to amphetamine;GO:0002291~T cell activation via T cell receptor contact with antigen bound to MHC molecule on antigen presenting cell;GO:0002438~acute inflammatory response to antigenic stimulus;GO:0002457~T cell antigen processing and presentation;GO:0002693~positive regulation of cellular extravasation;GO:0007155~cell adhesion;GO:0007157~heterophilic cell-cell adhesion via plasma membrane cell adhesion molecules;GO:0007159~leukocyte cell-cell adhesion;GO:0007569~cell aging;GO:0007605~sensory perception of sound;GO:0008360~regulation of cell shape;GO:0010212~response to ionizing radiation;GO:0010477~response to sulfur dioxide;GO:0014070~response to organic cyclic compound;GO:0016337~single organismal cell-cell adhesion;GO:0022614~membrane to membrane docking;GO:0030155~regulation of cell adhesion;GO:0030198~extracellular matrix organization;GO:0030838~positive regulation of actin filament polymerization;GO:0031669~cellular response to nutrient levels;GO:0033627~cell adhesion mediated by integrin;GO:0034698~response to gonadotropin;GO:0042493~response to drug;GO:0043200~response to amino acid;GO:0043547~positive regulation of GTPase activity;GO:0044406~adhesion of symbiont to host;GO:0045429~positive regulation of nitric oxide biosynthetic process;GO:0045471~response to ethanol;GO:0045907~positive regulation of vasoconstriction;GO:0046688~response to copper ion;GO:0046718~viral entry into host cell;GO:0046813~receptor-mediated virion attachment to host cell;GO:0050731~positive regulation of peptidyl-tyrosine phosphorylation;GO:0050776~regulation of immune response;GO:0050900~leukocyte migration;GO:0051092~positive regulation of NF-kappaB transcription factor activity;GO:0051926~negative regulation of calcium ion transport;GO:0060333~interferon-gamma-mediated signaling pathway;GO:0061028~establishment of endothelial barrier;GO:0070234~positive regulation of T cell apoptotic process;GO:0070374~positive regulation of ERK1 and ERK2 cascade;GO:0071222~cellular response to lipopolysaccharide;GO:0071312~cellular response to alkaloid;GO:0071333~cellular response to glucose stimulus;GO:0071347~cellular response to interleukin-1;GO:0071356~cellular response to tumor necrosis factor;GO:0071456~cellular response to hypoxia;GO:0097368~establishment of Sertoli cell barrier;GO:1900027~regulation of ruffle assembly;GO:1902042~negative regulation of extrinsic apoptotic signaling pathway via death domain receptors;GO:2000352~negative regulation of endothelial cell apoptotic process,
IFNG	interferon gamma(IFNG)	Homo sapiens	GO:0000060~protein import into nucleus, translocation;GO:0000122~negative regulation of transcription from RNA polymerase II promoter;GO:0001781~neutrophil apoptotic process;GO:0002026~regulation of the force of heart contraction;GO:0002250~adaptive immune response;GO:0002302~CD8-positive, alpha-beta T cell differentiation involved in immune response;GO:0006915~apoptotic process;GO:0006928~movement of cell or subcellular component;GO:0006955~immune response;GO:0006959~humoral immune response;GO:0007050~cell cycle arrest;GO:0007166~cell surface receptor signaling pathway;GO:0008284~positive regulation of cell proliferation;GO:0009615~response to virus;GO:0010508~positive regulation of autophagy;GO:0010628~positive regulation of gene expression;GO:0010629~negative regulation of gene expression;GO:0010634~positive regulation of epithelial cell migration;GO:0019882~antigen processing and presentation;GO:0030593~neutrophil chemotaxis;GO:0030857~negative regulation of epithelial cell differentiation;GO:0030968~endoplasmic reticulum unfolded protein response;GO:0031642~negative regulation of myelination;GO:0032224~positive regulation of synaptic transmission, cholinergic;GO:0032700~negative regulation of interleukin-17 production;GO:0032735~positive regulation of interleukin-12 production;GO:0032747~positive regulation of interleukin-23 production;GO:0032760~positive regulation of tumor necrosis factor production;GO:0032834~positive regulation of CD4-positive, CD25-positive, alpha-beta regulatory T cell differentiation involved in immune response;GO:0033141~positive regulation of peptidyl-serine phosphorylation of STAT protein;GO:0034393~positive regulation of smooth muscle cell apoptotic process;GO:0040008~regulation of growth;GO:0042102~positive regulation of T cell proliferation;GO:0042493~response to drug;GO:0042511~positive regulation of tyrosine phosphorylation of Stat1 protein;GO:0042742~defense response to bacterium;GO:0042832~defense response to protozoan;GO:0044130~negative regulation of growth of symbiont in host;GO:0045080~positive regulation of chemokine biosynthetic process;GO:0045084~positive regulation of interleukin-12 biosynthetic process;GO:0045348~positive regulation of MHC class II biosynthetic process;GO:0045410~positive regulation of interleukin-6 biosynthetic process;GO:0045429~positive regulation of nitric oxide biosynthetic process;GO:0045666~positive regulation of neuron differentiation;GO:0045672~positive regulation of osteoclast differentiation;GO:0045944~positive regulation of transcription from RNA polymerase II promoter;GO:0048147~negative regulation of fibroblast proliferation;GO:0048304~positive regulation of isotype switching to IgG isotypes;GO:0048662~negative regulation of smooth muscle cell proliferation;GO:0050718~positive regulation of interleukin-1 beta secretion;GO:0050796~regulation of insulin secretion;GO:0050852~T cell receptor signaling pathway;GO:0050954~sensory perception of mechanical stimulus;GO:0051044~positive regulation of membrane protein ectodomain proteolysis;GO:0051607~defense response to virus;GO:0051712~positive regulation of killing of cells of other organism;GO:0060251~regulation of glial cell proliferation;GO:0060333~interferon-gamma-mediated signaling pathway;GO:0060334~regulation of interferon-gamma-mediated signaling pathway;GO:0060550~positive regulation of fructose 1,6-bisphosphate 1-phosphatase activity;GO:0060552~positive regulation of fructose 1,6-bisphosphate metabolic process;GO:0060557~positive regulation of vitamin D biosynthetic process;GO:0060559~positive regulation of calcidiol 1-monooxygenase activity;GO:0071222~cellular response to lipopolysaccharide;GO:0071351~cellular response to interleukin-18;GO:0072125~negative regulation of glomerular mesangial cell proliferation;GO:0090004~positive regulation of establishment of protein localization to plasma membrane;GO:0097191~extrinsic apoptotic signaling pathway;GO:0098908~regulation of neuronal action potential;GO:1903543~positive regulation of exosomal secretion;GO:2000309~positive regulation of tumor necrosis factor (ligand) superfamily member 11 production;GO:2000345~regulation of hepatocyte proliferation,
IFIT1	interferon induced protein with tetratricopeptide repeats 1(IFIT1)	Homo sapiens	GO:0009615~response to virus;GO:0019060~intracellular transport of viral protein in host cell;GO:0032091~negative regulation of protein binding;GO:0045070~positive regulation of viral genome replication;GO:0045071~negative regulation of viral genome replication;GO:0050689~negative regulation of defense response to virus by host;GO:0051097~negative regulation of helicase activity;GO:0051607~defense response to virus;GO:0060337~type I interferon signaling pathway;GO:0071357~cellular response to type I interferon;GO:0071360~cellular response to exogenous dsRNA,
IFITM1	interferon induced transmembrane protein 1(IFITM1)	Homo sapiens	GO:0001503~ossification;GO:0007166~cell surface receptor signaling pathway;GO:0008285~negative regulation of cell proliferation;GO:0009607~response to biotic stimulus;GO:0009615~response to virus;GO:0030336~negative regulation of cell migration;GO:0034341~response to interferon-gamma;GO:0035455~response to interferon-alpha;GO:0035456~response to interferon-beta;GO:0045071~negative regulation of viral genome replication;GO:0045669~positive regulation of osteoblast differentiation;GO:0046597~negative regulation of viral entry into host cell;GO:0050776~regulation of immune response;GO:0051607~defense response to virus;GO:0060337~type I interferon signaling pathway,
IRF2	interferon regulatory factor 2(IRF2)	Homo sapiens	GO:0000122~negative regulation of transcription from RNA polymerase II promoter;GO:0006355~regulation of transcription, DNA-templated;GO:0006366~transcription from RNA polymerase II promoter;GO:0007596~blood coagulation;GO:0008283~cell proliferation;GO:0045944~positive regulation of transcription from RNA polymerase II promoter;GO:0060333~interferon-gamma-mediated signaling pathway;GO:0060337~type I interferon signaling pathway,
IL1A	interleukin 1 alpha(IL1A)	Homo sapiens	GO:0001660~fever generation;GO:0002248~connective tissue replacement involved in inflammatory response wound healing;GO:0006915~apoptotic process;GO:0006954~inflammatory response;GO:0006955~immune response;GO:0008283~cell proliferation;GO:0008285~negative regulation of cell proliferation;GO:0010575~positive regulation of vascular endothelial growth factor production;GO:0010628~positive regulation of gene expression;GO:0019221~cytokine-mediated signaling pathway;GO:0032755~positive regulation of interleukin-6 production;GO:0034605~cellular response to heat;GO:0035234~ectopic germ cell programmed cell death;GO:0043123~positive regulation of I-kappaB kinase/NF-kappaB signaling;GO:0045086~positive regulation of interleukin-2 biosynthetic process;GO:0045766~positive regulation of angiogenesis;GO:0045840~positive regulation of mitotic nuclear division;GO:0045944~positive regulation of transcription from RNA polymerase II promoter;GO:0046330~positive regulation of JNK cascade;GO:0046688~response to copper ion;GO:0050714~positive regulation of protein secretion;GO:0050715~positive regulation of cytokine secretion;GO:0051781~positive regulation of cell division;GO:0070498~interleukin-1-mediated signaling pathway;GO:0071639~positive regulation of monocyte chemotactic protein-1 production;GO:0097192~extrinsic apoptotic signaling pathway in absence of ligand;GO:2000391~positive regulation of neutrophil extravasation;GO:2001240~negative regulation of extrinsic apoptotic signaling pathway in absence of ligand,
IL1B	interleukin 1 beta(IL1B)	Homo sapiens	GO:0000165~MAPK cascade;GO:0000187~activation of MAPK activity;GO:0001660~fever generation;GO:0001934~positive regulation of protein phosphorylation;GO:0002711~positive regulation of T cell mediated immunity;GO:0006915~apoptotic process;GO:0006954~inflammatory response;GO:0006955~immune response;GO:0007165~signal transduction;GO:0007267~cell-cell signaling;GO:0007566~embryo implantation;GO:0008285~negative regulation of cell proliferation;GO:0009743~response to carbohydrate;GO:0010575~positive regulation of vascular endothelial growth factor production;GO:0010628~positive regulation of gene expression;GO:0010829~negative regulation of glucose transport;GO:0014805~smooth muscle adaptation;GO:0019221~cytokine-mediated signaling pathway;GO:0030213~hyaluronan biosynthetic process;GO:0030593~neutrophil chemotaxis;GO:0030730~sequestering of triglyceride;GO:0030949~positive regulation of vascular endothelial growth factor receptor signaling pathway;GO:0031622~positive regulation of fever generation;GO:0031663~lipopolysaccharide-mediated signaling pathway;GO:0032308~positive regulation of prostaglandin secretion;GO:0032611~interleukin-1 beta production;GO:0032725~positive regulation of granulocyte macrophage colony-stimulating factor production;GO:0032729~positive regulation of interferon-gamma production;GO:0032755~positive regulation of interleukin-6 production;GO:0032757~positive regulation of interleukin-8 production;GO:0033129~positive regulation of histone phosphorylation;GO:0033198~response to ATP;GO:0034116~positive regulation of heterotypic cell-cell adhesion;GO:0035066~positive regulation of histone acetylation;GO:0035234~ectopic germ cell programmed cell death;GO:0035505~positive regulation of myosin light chain kinase activity;GO:0035690~cellular response to drug;GO:0042102~positive regulation of T cell proliferation;GO:0042346~positive regulation of NF-kappaB import into nucleus;GO:0043122~regulation of I-kappaB kinase/NF-kappaB signaling;GO:0043407~negative regulation of MAP kinase activity;GO:0043491~protein kinase B signaling;GO:0045080~positive regulation of chemokine biosynthetic process;GO:0045086~positive regulation of interleukin-2 biosynthetic process;GO:0045410~positive regulation of interleukin-6 biosynthetic process;GO:0045429~positive regulation of nitric oxide biosynthetic process;GO:0045766~positive regulation of angiogenesis;GO:0045833~negative regulation of lipid metabolic process;GO:0045840~positive regulation of mitotic nuclear division;GO:0045893~positive regulation of transcription, DNA-templated;GO:0045944~positive regulation of transcription from RNA polymerase II promoter;GO:0046330~positive regulation of JNK cascade;GO:0046627~negative regulation of insulin receptor signaling pathway;GO:0046827~positive regulation of protein export from nucleus;GO:0050766~positive regulation of phagocytosis;GO:0050796~regulation of insulin secretion;GO:0050995~negative regulation of lipid catabolic process;GO:0050996~positive regulation of lipid catabolic process;GO:0050999~regulation of nitric-oxide synthase activity;GO:0051044~positive regulation of membrane protein ectodomain proteolysis;GO:0051091~positive regulation of sequence-specific DNA binding transcription factor activity;GO:0051092~positive regulation of NF-kappaB transcription factor activity;GO:0051781~positive regulation of cell division;GO:0060355~positive regulation of cell adhesion molecule production;GO:0060559~positive regulation of calcidiol 1-monooxygenase activity;GO:0070164~negative regulation of adiponectin secretion;GO:0070487~monocyte aggregation;GO:0071260~cellular response to mechanical stimulus;GO:0071310~cellular response to organic substance;GO:0071407~cellular response to organic cyclic compound;GO:0071639~positive regulation of monocyte chemotactic protein-1 production;GO:0097192~extrinsic apoptotic signaling pathway in absence of ligand;GO:1903140~regulation of establishment of endothelial barrier;GO:2000778~positive regulation of interleukin-6 secretion;GO:2001240~negative regulation of extrinsic apoptotic signaling pathway in absence of ligand,
IRAK1	interleukin 1 receptor associated kinase 1(IRAK1)	Homo sapiens	GO:0000187~activation of MAPK activity;GO:0001959~regulation of cytokine-mediated signaling pathway;GO:0002224~toll-like receptor signaling pathway;GO:0002755~MyD88-dependent toll-like receptor signaling pathway;GO:0006468~protein phosphorylation;GO:0007165~signal transduction;GO:0007178~transmembrane receptor protein serine/threonine kinase signaling pathway;GO:0007250~activation of NF-kappaB-inducing kinase activity;GO:0007254~JNK cascade;GO:0007568~aging;GO:0031663~lipopolysaccharide-mediated signaling pathway;GO:0032088~negative regulation of NF-kappaB transcription factor activity;GO:0032481~positive regulation of type I interferon production;GO:0032496~response to lipopolysaccharide;GO:0034134~toll-like receptor 2 signaling pathway;GO:0034142~toll-like receptor 4 signaling pathway;GO:0034162~toll-like receptor 9 signaling pathway;GO:0034605~cellular response to heat;GO:0043066~negative regulation of apoptotic process;GO:0043123~positive regulation of I-kappaB kinase/NF-kappaB signaling;GO:0043406~positive regulation of MAP kinase activity;GO:0045087~innate immune response;GO:0045893~positive regulation of transcription, DNA-templated;GO:0046777~protein autophosphorylation;GO:0048661~positive regulation of smooth muscle cell proliferation;GO:0051092~positive regulation of NF-kappaB transcription factor activity;GO:0051259~protein oligomerization;GO:0070423~nucleotide-binding oligomerization domain containing signaling pathway;GO:0070498~interleukin-1-mediated signaling pathway;GO:0070555~response to interleukin-1;GO:0071456~cellular response to hypoxia,
IRAK2	interleukin 1 receptor associated kinase 2(IRAK2)	Homo sapiens	GO:0000187~activation of MAPK activity;GO:0001959~regulation of cytokine-mediated signaling pathway;GO:0002224~toll-like receptor signaling pathway;GO:0002755~MyD88-dependent toll-like receptor signaling pathway;GO:0006468~protein phosphorylation;GO:0006954~inflammatory response;GO:0007249~I-kappaB kinase/NF-kappaB signaling;GO:0007254~JNK cascade;GO:0031663~lipopolysaccharide-mediated signaling pathway;GO:0032088~negative regulation of NF-kappaB transcription factor activity;GO:0034162~toll-like receptor 9 signaling pathway;GO:0051092~positive regulation of NF-kappaB transcription factor activity;GO:0070423~nucleotide-binding oligomerization domain containing signaling pathway;GO:0070498~interleukin-1-mediated signaling pathway;GO:0070555~response to interleukin-1,
IRAK4	interleukin 1 receptor associated kinase 4(IRAK4)	Homo sapiens	GO:0001816~cytokine production;GO:0002224~toll-like receptor signaling pathway;GO:0002446~neutrophil mediated immunity;GO:0002755~MyD88-dependent toll-like receptor signaling pathway;GO:0007165~signal transduction;GO:0007254~JNK cascade;GO:0019221~cytokine-mediated signaling pathway;GO:0034162~toll-like receptor 9 signaling pathway;GO:0043123~positive regulation of I-kappaB kinase/NF-kappaB signaling;GO:0045087~innate immune response;GO:0048661~positive regulation of smooth muscle cell proliferation;GO:1990266~neutrophil migration,
IL11	interleukin 11(IL11)	Homo sapiens	GO:0007267~cell-cell signaling;GO:0008284~positive regulation of cell proliferation;GO:0030183~B cell differentiation;GO:0030219~megakaryocyte differentiation;GO:0033138~positive regulation of peptidyl-serine phosphorylation;GO:0043410~positive regulation of MAPK cascade;GO:0045444~fat cell differentiation;GO:0045944~positive regulation of transcription from RNA polymerase II promoter;GO:0046888~negative regulation of hormone secretion;GO:0050731~positive regulation of peptidyl-tyrosine phosphorylation;GO:1903659~regulation of complement-dependent cytotoxicity;GO:2000352~negative regulation of endothelial cell apoptotic process,
IL18	interleukin 18(IL18)	Homo sapiens	GO:0000165~MAPK cascade;GO:0001525~angiogenesis;GO:0006954~inflammatory response;GO:0006955~immune response;GO:0007267~cell-cell signaling;GO:0010744~positive regulation of macrophage derived foam cell differentiation;GO:0014068~positive regulation of phosphatidylinositol 3-kinase signaling;GO:0030101~natural killer cell activation;GO:0030155~regulation of cell adhesion;GO:0030431~sleep;GO:0031663~lipopolysaccharide-mediated signaling pathway;GO:0032148~activation of protein kinase B activity;GO:0032725~positive regulation of granulocyte macrophage colony-stimulating factor production;GO:0032729~positive regulation of interferon-gamma production;GO:0032740~positive regulation of interleukin-17 production;GO:0032819~positive regulation of natural killer cell proliferation;GO:0034105~positive regulation of tissue remodeling;GO:0035655~interleukin-18-mediated signaling pathway;GO:0042033~chemokine biosynthetic process;GO:0042088~T-helper 1 type immune response;GO:0042092~type 2 immune response;GO:0042094~interleukin-2 biosynthetic process;GO:0042095~interferon-gamma biosynthetic process;GO:0042104~positive regulation of activated T cell proliferation;GO:0042231~interleukin-13 biosynthetic process;GO:0042253~granulocyte macrophage colony-stimulating factor biosynthetic process;GO:0042346~positive regulation of NF-kappaB import into nucleus;GO:0042517~positive regulation of tyrosine phosphorylation of Stat3 protein;GO:0042632~cholesterol homeostasis;GO:0045630~positive regulation of T-helper 2 cell differentiation;GO:0045662~negative regulation of myoblast differentiation;GO:0045944~positive regulation of transcription from RNA polymerase II promoter;GO:0048661~positive regulation of smooth muscle cell proliferation;GO:0050729~positive regulation of inflammatory response;GO:0051142~positive regulation of NK T cell proliferation;GO:0051897~positive regulation of protein kinase B signaling;GO:0070328~triglyceride homeostasis;GO:0071407~cellular response to organic cyclic compound,
IL24	interleukin 24(IL24)	Homo sapiens	GO:0006915~apoptotic process;GO:0006954~inflammatory response;GO:0006955~immune response;GO:0008284~positive regulation of cell proliferation;GO:0008285~negative regulation of cell proliferation;GO:0030336~negative regulation of cell migration;GO:0033136~serine phosphorylation of STAT3 protein;GO:0042060~wound healing;GO:0042517~positive regulation of tyrosine phosphorylation of Stat3 protein;GO:0046427~positive regulation of JAK-STAT cascade;GO:0071222~cellular response to lipopolysaccharide;GO:0071353~cellular response to interleukin-4,
IL32	interleukin 32(IL32)	Homo sapiens	GO:0006952~defense response;GO:0006955~immune response;GO:0007155~cell adhesion,
IL6	interleukin 6(IL6)	Homo sapiens	GO:0001781~neutrophil apoptotic process;GO:0001878~response to yeast;GO:0002384~hepatic immune response;GO:0002446~neutrophil mediated immunity;GO:0002526~acute inflammatory response;GO:0002548~monocyte chemotaxis;GO:0002675~positive regulation of acute inflammatory response;GO:0002690~positive regulation of leukocyte chemotaxis;GO:0006469~negative regulation of protein kinase activity;GO:0006953~acute-phase response;GO:0006954~inflammatory response;GO:0006955~immune response;GO:0006959~humoral immune response;GO:0007568~aging;GO:0008284~positive regulation of cell proliferation;GO:0008285~negative regulation of cell proliferation;GO:0008360~regulation of cell shape;GO:0009408~response to heat;GO:0009409~response to cold;GO:0010574~regulation of vascular endothelial growth factor production;GO:0010628~positive regulation of gene expression;GO:0010888~negative regulation of lipid storage;GO:0010976~positive regulation of neuron projection development;GO:0010996~response to auditory stimulus;GO:0016049~cell growth;GO:0019221~cytokine-mediated signaling pathway;GO:0030168~platelet activation;GO:0031000~response to caffeine;GO:0031018~endocrine pancreas development;GO:0031175~neuron projection development;GO:0031669~cellular response to nutrient levels;GO:0032494~response to peptidoglycan;GO:0032722~positive regulation of chemokine production;GO:0032755~positive regulation of interleukin-6 production;GO:0032868~response to insulin;GO:0032966~negative regulation of collagen biosynthetic process;GO:0033138~positive regulation of peptidyl-serine phosphorylation;GO:0033160~positive regulation of protein import into nucleus, translocation;GO:0035729~cellular response to hepatocyte growth factor stimulus;GO:0042060~wound healing;GO:0042102~positive regulation of T cell proliferation;GO:0042493~response to drug;GO:0042517~positive regulation of tyrosine phosphorylation of Stat3 protein;GO:0042593~glucose homeostasis;GO:0042832~defense response to protozoan;GO:0043065~positive regulation of apoptotic process;GO:0043066~negative regulation of apoptotic process;GO:0043154~negative regulation of cysteine-type endopeptidase activity involved in apoptotic process;GO:0043200~response to amino acid;GO:0043410~positive regulation of MAPK cascade;GO:0045079~negative regulation of chemokine biosynthetic process;GO:0045188~regulation of circadian sleep/wake cycle, non-REM sleep;GO:0045429~positive regulation of nitric oxide biosynthetic process;GO:0045454~cell redox homeostasis;GO:0045599~negative regulation of fat cell differentiation;GO:0045630~positive regulation of T-helper 2 cell differentiation;GO:0045669~positive regulation of osteoblast differentiation;GO:0045721~negative regulation of gluconeogenesis;GO:0045727~positive regulation of translation;GO:0045740~positive regulation of DNA replication;GO:0045765~regulation of angiogenesis;GO:0045779~negative regulation of bone resorption;GO:0045837~negative regulation of membrane potential;GO:0045893~positive regulation of transcription, DNA-templated;GO:0045944~positive regulation of transcription from RNA polymerase II promoter;GO:0046427~positive regulation of JAK-STAT cascade;GO:0046677~response to antibiotic;GO:0046716~muscle cell cellular homeostasis;GO:0046849~bone remodeling;GO:0046888~negative regulation of hormone secretion;GO:0048635~negative regulation of muscle organ development;GO:0048661~positive regulation of smooth muscle cell proliferation;GO:0050679~positive regulation of epithelial cell proliferation;GO:0050710~negative regulation of cytokine secretion;GO:0050731~positive regulation of peptidyl-tyrosine phosphorylation;GO:0050829~defense response to Gram-negative bacterium;GO:0050830~defense response to Gram-positive bacterium;GO:0050871~positive regulation of B cell activation;GO:0051024~positive regulation of immunoglobulin secretion;GO:0051091~positive regulation of sequence-specific DNA binding transcription factor activity;GO:0051092~positive regulation of NF-kappaB transcription factor activity;GO:0051384~response to glucocorticoid;GO:0051592~response to calcium ion;GO:0051602~response to electrical stimulus;GO:0051607~defense response to virus;GO:0051897~positive regulation of protein kinase B signaling;GO:0051971~positive regulation of transmission of nerve impulse;GO:0060445~branching involved in salivary gland morphogenesis;GO:0060664~epithelial cell proliferation involved in salivary gland morphogenesis;GO:0070091~glucagon secretion;GO:0070102~interleukin-6-mediated signaling pathway;GO:0070301~cellular response to hydrogen peroxide;GO:0070374~positive regulation of ERK1 and ERK2 cascade;GO:0071222~cellular response to lipopolysaccharide;GO:0071347~cellular response to interleukin-1;GO:0071356~cellular response to tumor necrosis factor;GO:0071392~cellular response to estradiol stimulus;GO:0071549~cellular response to dexamethasone stimulus;GO:0071864~positive regulation of cell proliferation in bone marrow;GO:0072540~T-helper 17 cell lineage commitment;GO:1901215~negative regulation of neuron death;GO:1990646~cellular response to prolactin;GO:2000366~positive regulation of STAT protein import into nucleus;GO:2000553~positive regulation of T-helper 2 cell cytokine production;GO:2000660~negative regulation of interleukin-1-mediated signaling pathway;GO:2000676~positive regulation of type B pancreatic cell apoptotic process,
ISCU	iron-sulfur cluster assembly enzyme(ISCU)	Homo sapiens	GO:0006879~cellular iron ion homeostasis;GO:0009399~nitrogen fixation;GO:0016226~iron-sulfur cluster assembly;GO:0044281~small molecule metabolic process;GO:0044571~[2Fe-2S] cluster assembly;GO:0097428~protein maturation by iron-sulfur cluster transfer,
IDH2	isocitrate dehydrogenase (NADP(+)) 2, mitochondrial(IDH2)	Homo sapiens	GO:0005975~carbohydrate metabolic process;GO:0006097~glyoxylate cycle;GO:0006099~tricarboxylic acid cycle;GO:0006102~isocitrate metabolic process;GO:0006103~2-oxoglutarate metabolic process,
JAG1	jagged 1(JAG1)	Homo sapiens	GO:0001525~angiogenesis;GO:0001709~cell fate determination;GO:0001974~blood vessel remodeling;GO:0002011~morphogenesis of an epithelial sheet;GO:0002456~T cell mediated immunity;GO:0003184~pulmonary valve morphogenesis;GO:0003215~cardiac right ventricle morphogenesis;GO:0007219~Notch signaling pathway;GO:0007220~Notch receptor processing;GO:0007275~multicellular organism development;GO:0007399~nervous system development;GO:0030097~hemopoiesis;GO:0030216~keratinocyte differentiation;GO:0030334~regulation of cell migration;GO:0032495~response to muramyl dipeptide;GO:0035909~aorta morphogenesis;GO:0042127~regulation of cell proliferation;GO:0042491~auditory receptor cell differentiation;GO:0045445~myoblast differentiation;GO:0045446~endothelial cell differentiation;GO:0045599~negative regulation of fat cell differentiation;GO:0045639~positive regulation of myeloid cell differentiation;GO:0045665~negative regulation of neuron differentiation;GO:0045669~positive regulation of osteoblast differentiation;GO:0045747~positive regulation of Notch signaling pathway;GO:0045944~positive regulation of transcription from RNA polymerase II promoter;GO:0060411~cardiac septum morphogenesis;GO:0061073~ciliary body morphogenesis;GO:0061156~pulmonary artery morphogenesis;GO:0061309~cardiac neural crest cell development involved in outflow tract morphogenesis;GO:0061314~Notch signaling involved in heart development;GO:0061444~endocardial cushion cell development;GO:0072006~nephron development;GO:0072015~glomerular visceral epithelial cell development;GO:0072017~distal tubule development;GO:0072070~loop of Henle development;GO:0097150~neuronal stem cell population maintenance;GO:2000737~negative regulation of stem cell differentiation,
JMY	junction mediating and regulatory protein, p53 cofactor(JMY)	Homo sapiens	GO:0006281~DNA repair;GO:0006357~regulation of transcription from RNA polymerase II promoter;GO:0007050~cell cycle arrest;GO:0034314~Arp2/3 complex-mediated actin nucleation;GO:0043065~positive regulation of apoptotic process;GO:0051091~positive regulation of sequence-specific DNA binding transcription factor activity;GO:0070060~'de novo' actin filament nucleation;GO:0070358~actin polymerization-dependent cell motility;GO:1901796~regulation of signal transduction by p53 class mediator,
KLK10	kallikrein related peptidase 10(KLK10)	Homo sapiens	GO:0006508~proteolysis;GO:0007049~cell cycle,
KLHL20	kelch like family member 20(KLHL20)	Homo sapiens	GO:0006895~Golgi to endosome transport;GO:0007010~cytoskeleton organization;GO:0015031~protein transport;GO:0016567~protein ubiquitination;GO:0035455~response to interferon-alpha;GO:0042787~protein ubiquitination involved in ubiquitin-dependent protein catabolic process;GO:0043066~negative regulation of apoptotic process;GO:0043161~proteasome-mediated ubiquitin-dependent protein catabolic process;GO:1990390~protein K33-linked ubiquitination,
